"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 12/01/2024

Product: Historical Climate (Daily) - gridMET (METDATA)(http://www.climatologylab.org/gridmet.html) 
"Location (US County): Boulder County, Colorado"
Variable List: 
tmmn: Min Temperature
tmmx: Max Temperature
pr: Precipitation
********************************************************
Year,Month,Day,tmmn(degC),tmmx(degC),pr(mm)
1979,8,7,14.37,29.89,0.86905
1979,8,8,13.14,27.69,3.21786
1979,8,9,12.62,27.00,8.4744
1979,8,10,7.57,18.46,11.92679
1979,8,11,7.40,24.87,0.26905
1979,8,12,10.01,25.90,1.17798
1979,8,13,10.63,22.68,4.27619
1979,8,14,6.65,16.17,9.46786
1979,8,15,4.21,18.91,2.2381
1979,8,16,8.03,20.17,9.0869
1979,8,17,8.42,22.06,3.65238
1979,8,18,8.96,19.78,12.46786
1979,8,19,5.52,19.73,5.3994
1979,8,20,5.88,18.67,0.86012
1979,8,21,5.69,21.63,0.57976
1979,8,22,8.25,21.43,0.5369
1979,8,23,8.50,23.30,0.01964
1979,8,24,8.99,23.05,1.37262
1979,8,25,7.51,22.09,1.23214
1979,8,26,7.20,22.07,1.94702
1979,8,27,7.59,23.87,0
1979,8,28,9.61,26.29,0
1979,8,29,10.08,25.99,0
1979,8,30,10.20,26.62,0.21488
1979,8,31,8.36,25.66,0.09762
1979,9,1,8.82,24.81,0.01429
1979,9,2,8.94,26.40,0
1979,9,3,8.62,26.98,0
1979,9,4,9.19,27.29,0
1979,9,5,9.01,27.57,0
1979,9,6,8.20,26.17,0
1979,9,7,9.05,27.42,0
1979,9,8,9.31,28.66,0
1979,9,9,10.55,28.95,0
1979,9,10,10.79,27.25,2.40536
1979,9,11,6.19,21.28,0.60893
1979,9,12,2.01,16.72,0.35774
1979,9,13,-1.29,17.49,3.44702
1979,9,14,-0.40,14.17,3.73452
1979,9,15,-0.59,20.84,0
1979,9,16,3.43,23.89,0
1979,9,17,5.83,24.43,0
1979,9,18,5.74,21.10,0
1979,9,19,3.31,23.51,1.11548
1979,9,20,4.22,19.05,3.74405
1979,9,21,2.21,20.50,0
1979,9,22,4.45,23.09,0
1979,9,23,5.78,24.92,0
1979,9,24,7.68,24.77,0.05298
1979,9,25,6.28,23.65,0.21845
1979,9,26,7.31,23.49,0.05952
1979,9,27,5.40,21.82,0
1979,9,28,4.19,22.39,0
1979,9,29,5.23,22.60,0
1979,9,30,6.42,23.24,0
1979,10,1,4.40,20.06,0
1979,10,2,6.59,23.52,0
1979,10,3,1.10,13.91,0
1979,10,4,0.27,18.74,0
1979,10,5,5.48,20.87,0
1979,10,6,5.03,22.41,0
1979,10,7,6.48,24.06,0
1979,10,8,4.29,23.04,0
1979,10,9,-2.37,9.05,2.48631
1979,10,10,-0.91,20.71,0
1979,10,11,6.46,22.47,0
1979,10,12,5.59,19.34,0
1979,10,13,1.83,19.86,0
1979,10,14,4.91,21.66,0
1979,10,15,4.83,19.20,0.17917
1979,10,16,1.90,15.76,0.27321
1979,10,17,-1.16,15.91,0
1979,10,18,2.56,17.50,0
1979,10,19,3.37,18.11,0
1979,10,20,2.84,15.56,7.57024
1979,10,21,-4.86,7.00,4.70952
1979,10,22,-6.35,11.31,0
1979,10,23,-1.04,15.96,0
1979,10,24,2.37,16.89,0
1979,10,25,1.34,18.72,0
1979,10,26,3.77,18.85,0
1979,10,27,1.19,11.94,0.14048
1979,10,28,-1.75,13.22,7.08333
1979,10,29,-5.04,5.52,5.29821
1979,10,30,-8.45,0.09,0.82976
1979,10,31,-11.37,0.74,0
1979,11,1,-12.15,1.40,0.34464
1979,11,2,-8.87,4.62,0
1979,11,3,-4.98,10.62,0.33095
1979,11,4,-2.12,13.02,2.78512
1979,11,5,-6.09,4.39,0.99702
1979,11,6,-6.28,8.22,0
1979,11,7,-2.20,11.06,0.05357
1979,11,8,-2.93,10.09,2.18631
1979,11,9,-7.32,3.83,1.81607
1979,11,10,-8.82,1.19,2.42024
1979,11,11,-7.63,3.57,6.85714
1979,11,12,-11.07,1.94,0.4756
1979,11,13,-8.09,5.76,0
1979,11,14,-5.77,7.83,0
1979,11,15,-4.23,11.78,0
1979,11,16,-1.25,14.52,0
1979,11,17,0.24,15.65,0.1244
1979,11,18,-0.84,9.78,1.69464
1979,11,19,-3.98,5.41,10.37202
1979,11,20,-10.51,1.09,21.9744
1979,11,21,-13.28,-5.58,2.41786
1979,11,22,-15.98,-1.29,0
1979,11,23,-10.02,1.19,0.59345
1979,11,24,-9.59,0.33,0
1979,11,25,-11.38,-0.15,5.04226
1979,11,26,-11.83,0.23,0.89583
1979,11,27,-14.36,-3.39,0.36607
1979,11,28,-18.28,-6.49,0
1979,11,29,-17.16,-2.50,0
1979,11,30,-16.02,1.51,0
1979,12,1,-10.43,2.38,0
1979,12,2,-10.99,5.52,0
1979,12,3,-3.33,6.28,0
1979,12,4,-2.26,9.04,0.19464
1979,12,5,-8.13,6.99,0.50476
1979,12,6,-8.13,6.57,0.11786
1979,12,7,-5.10,6.27,0.43512
1979,12,8,-4.96,7.32,0
1979,12,9,-3.06,10.37,0
1979,12,10,-1.20,12.92,0.91786
1979,12,11,-13.11,5.52,1.53869
1979,12,12,-13.95,2.42,0
1979,12,13,-10.28,2.00,0
1979,12,14,-8.93,7.80,0
1979,12,15,-3.02,11.00,0
1979,12,16,-12.53,3.90,0
1979,12,17,-7.05,11.55,0
1979,12,18,-0.08,14.33,0
1979,12,19,-1.36,11.23,0
1979,12,20,-2.67,10.86,0
1979,12,21,-4.45,7.40,1.63988
1979,12,22,-5.71,3.97,6.75655
1979,12,23,-8.80,2.54,0
1979,12,24,-9.33,6.70,0
1979,12,25,-3.58,10.13,0.24464
1979,12,26,-5.92,5.45,2.95536
1979,12,27,-8.47,1.10,19.82262
1979,12,28,-13.58,-0.71,1.03869
1979,12,29,-14.56,-0.26,0
1979,12,30,-13.36,1.09,0.03155
1979,12,31,-8.73,1.40,0.01548
1980,1,1,-4.32,4.69,2.58631
1980,1,2,-8.94,1.69,1.05833
1980,1,3,-12.08,1.87,0.91905
1980,1,4,-7.13,2.66,0.21369
1980,1,5,-7.05,5.93,0.04643
1980,1,6,-13.21,3.89,3.19048
1980,1,7,-14.95,-3.20,1.42857
1980,1,8,-14.21,1.11,3.24762
1980,1,9,-12.24,3.71,1.26786
1980,1,10,-5.46,5.83,0.93036
1980,1,11,-13.67,-0.65,1.14226
1980,1,12,-7.29,6.80,2.07738
1980,1,13,0.02,8.03,0.70536
1980,1,14,-0.64,9.88,0.26845
1980,1,15,-2.86,7.60,0.0875
1980,1,16,-4.94,5.81,0.06726
1980,1,17,-7.16,4.39,3.1131
1980,1,18,-6.64,3.36,4.67619
1980,1,19,-12.91,-2.52,2.57738
1980,1,20,-14.07,0.33,0.11905
1980,1,21,-9.98,2.78,0
1980,1,22,-13.40,-0.62,0
1980,1,23,-10.26,3.90,0
1980,1,24,-3.97,7.72,1.83095
1980,1,25,-11.09,2.81,7.54702
1980,1,26,-17.30,-6.65,6.54821
1980,1,27,-18.49,-6.81,2.85
1980,1,28,-17.79,-8.84,3.87679
1980,1,29,-17.61,-4.70,2.575
1980,1,30,-14.99,-3.11,0
1980,1,31,-14.51,1.25,0
1980,2,1,-8.49,4.77,0.11845
1980,2,2,-4.73,5.80,0.04821
1980,2,3,-4.12,8.60,0.0381
1980,2,4,-3.68,7.46,0.13333
1980,2,5,-6.11,4.61,0
1980,2,6,-4.49,6.17,0
1980,2,7,-10.65,1.20,10.63095
1980,2,8,-16.42,-3.69,0.42321
1980,2,9,-16.58,2.50,0
1980,2,10,-8.69,3.68,0
1980,2,11,-11.72,-0.52,0
1980,2,12,-11.46,3.35,0
1980,2,13,-6.66,5.56,0.21012
1980,2,14,-8.42,2.69,1.79524
1980,2,15,-10.54,-0.43,0.7506
1980,2,16,-11.55,0.91,0.07381
1980,2,17,-7.73,4.84,0.91369
1980,2,18,-2.83,8.10,1.32857
1980,2,19,-1.03,8.03,0.96071
1980,2,20,-1.82,7.56,0.06786
1980,2,21,-2.13,9.00,0.42262
1980,2,22,-3.62,7.34,0.08512
1980,2,23,-4.73,5.38,5.74524
1980,2,24,-7.15,3.49,0.74286
1980,2,25,-6.81,8.06,0
1980,2,26,-2.66,9.66,0.08988
1980,2,27,0.41,15.06,0
1980,2,28,2.25,16.41,1.22083
1980,2,29,-9.95,6.59,1.16369
1980,3,1,-14.16,-0.27,0.10238
1980,3,2,-9.58,7.22,0.52976
1980,3,3,-2.48,9.76,1.85179
1980,3,4,-7.35,2.83,1.17024
1980,3,5,-8.20,4.19,0
1980,3,6,-5.40,6.93,6.24702
1980,3,7,-6.58,2.78,0.46905
1980,3,8,-6.97,4.33,0.14762
1980,3,9,-5.42,5.22,0
1980,3,10,-3.94,9.83,0.08333
1980,3,11,-2.87,9.20,0.24762
1980,3,12,-6.05,6.83,0.08036
1980,3,13,-7.58,8.46,0.08155
1980,3,14,-2.83,12.21,0
1980,3,15,-0.91,13.68,1.27917
1980,3,16,-8.08,4.69,1.49821
1980,3,17,-10.79,4.58,0
1980,3,18,-4.45,12.36,0
1980,3,19,-2.66,9.79,0.03393
1980,3,20,-4.13,6.28,0.57262
1980,3,21,-4.82,10.87,0
1980,3,22,-3.59,5.09,2.2381
1980,3,23,-5.78,4.73,0.41667
1980,3,24,-6.90,5.95,0
1980,3,25,-6.31,6.36,4.24821
1980,3,26,-7.09,3.81,0.99405
1980,3,27,-8.66,3.15,7.08988
1980,3,28,-8.11,0.02,4.67262
1980,3,29,-8.45,1.92,0.41964
1980,3,30,-8.75,5.31,3.80893
1980,3,31,-8.01,2.23,5.82738
1980,4,1,-10.06,-0.38,1.85417
1980,4,2,-9.77,-0.46,3.85655
1980,4,3,-10.98,1.41,0.20714
1980,4,4,-8.51,7.34,0
1980,4,5,-3.64,11.79,0
1980,4,6,-1.88,9.68,1.34821
1980,4,7,-6.66,4.69,0.41845
1980,4,8,-7.49,6.69,0
1980,4,9,-4.41,10.74,0.89464
1980,4,10,-1.11,11.36,0
1980,4,11,-5.49,5.08,5.99583
1980,4,12,-8.00,3.13,0.16726
1980,4,13,-7.86,6.52,0.19167
1980,4,14,-5.19,12.75,0
1980,4,15,-0.84,15.27,0
1980,4,16,-1.45,11.22,0
1980,4,17,-2.68,14.89,0
1980,4,18,0.27,18.86,0
1980,4,19,3.29,20.28,0
1980,4,20,3.35,20.80,0
1980,4,21,4.97,21.57,0
1980,4,22,5.09,20.80,0.17679
1980,4,23,1.69,13.66,19.59821
1980,4,24,-0.43,9.58,18.19286
1980,4,25,-3.40,9.40,1.91726
1980,4,26,-1.94,10.07,0.70774
1980,4,27,-1.38,13.34,0
1980,4,28,0.12,16.85,0
1980,4,29,4.22,18.93,7.73155
1980,4,30,1.66,11.79,26.46667
1980,5,1,1.00,9.53,9.8506
1980,5,2,0.46,12.10,1.31786
1980,5,3,1.42,15.85,5.0125
1980,5,4,3.42,16.38,3.47917
1980,5,5,4.90,15.69,2.32202
1980,5,6,3.48,16.47,4.24881
1980,5,7,4.43,13.90,10.06369
1980,5,8,3.57,11.31,5.1125
1980,5,9,1.26,16.75,0.35119
1980,5,10,3.28,15.29,4.03095
1980,5,11,1.74,11.89,8.15893
1980,5,12,-1.65,9.16,3.49464
1980,5,13,-2.34,12.30,2.1619
1980,5,14,0.49,14.70,8.56964
1980,5,15,1.22,9.25,17.58214
1980,5,16,0.26,10.38,17.71964
1980,5,17,1.32,9.52,4.67738
1980,5,18,-0.17,14.28,0.08274
1980,5,19,2.10,17.22,0.63512
1980,5,20,4.35,19.04,0
1980,5,21,6.35,21.51,0
1980,5,22,8.33,23.39,1.22262
1980,5,23,8.06,21.13,0
1980,5,24,5.53,20.24,0
1980,5,25,1.52,15.15,0
1980,5,26,1.29,18.27,0
1980,5,27,4.75,20.65,0
1980,5,28,5.23,20.00,0.01429
1980,5,29,5.08,16.94,0
1980,5,30,2.29,18.75,0
1980,5,31,4.46,21.46,0
1980,6,1,3.22,20.74,0
1980,6,2,2.93,20.80,0
1980,6,3,4.54,24.94,0.00357
1980,6,4,6.19,25.73,0
1980,6,5,7.15,25.26,0.00714
1980,6,6,6.98,25.60,0
1980,6,7,6.28,21.92,0
1980,6,8,3.83,22.67,0
1980,6,9,4.89,23.89,0
1980,6,10,7.17,25.59,0.00357
1980,6,11,8.20,28.80,0.00357
1980,6,12,9.13,26.81,0
1980,6,13,8.49,26.81,0
1980,6,14,8.37,27.49,0.00476
1980,6,15,7.02,22.96,0
1980,6,16,4.48,22.60,0.00476
1980,6,17,5.61,25.46,0.00357
1980,6,18,9.70,28.06,0.03333
1980,6,19,10.67,26.11,0.26786
1980,6,20,7.24,26.31,0.36964
1980,6,21,8.62,27.84,0
1980,6,22,9.98,27.74,0
1980,6,23,9.68,30.85,0
1980,6,24,11.92,30.07,0
1980,6,25,11.24,31.39,0
1980,6,26,12.73,32.77,0
1980,6,27,12.90,27.96,0
1980,6,28,10.55,27.38,0
1980,6,29,10.04,30.38,0.25119
1980,6,30,11.85,29.55,2.41607
1980,7,1,12.65,25.90,7.43869
1980,7,2,10.01,25.43,2.45952
1980,7,3,8.92,26.26,0
1980,7,4,9.98,27.30,0
1980,7,5,10.53,28.79,0
1980,7,6,10.86,29.73,0.22262
1980,7,7,12.58,28.73,2.06905
1980,7,8,11.24,26.88,0.01786
1980,7,9,10.99,28.90,0.47024
1980,7,10,14.34,30.05,3.30119
1980,7,11,14.30,29.63,2.2994
1980,7,12,13.68,28.13,4.64405
1980,7,13,11.48,27.22,1.36607
1980,7,14,10.20,26.60,0.05238
1980,7,15,10.60,27.02,0
1980,7,16,10.33,27.58,1.19345
1980,7,17,11.75,29.32,0.00357
1980,7,18,13.51,28.15,0.16548
1980,7,19,11.68,28.94,0.10119
1980,7,20,12.20,27.80,0
1980,7,21,9.10,26.98,0.21488
1980,7,22,10.40,28.66,0
1980,7,23,11.64,28.99,2.20357
1980,7,24,12.17,29.06,5.72321
1980,7,25,11.51,26.63,1.07083
1980,7,26,8.84,25.76,0
1980,7,27,9.83,27.12,0
1980,7,28,10.00,29.24,0.20119
1980,7,29,11.86,30.79,1.05238
1980,7,30,12.68,27.78,2.1244
1980,7,31,11.22,27.58,0
1980,8,1,12.42,29.39,0.2494
1980,8,2,13.49,28.20,0
1980,8,3,11.95,28.49,0
1980,8,4,8.13,25.38,0
1980,8,5,9.77,28.76,0.51905
1980,8,6,11.89,30.66,0.13631
1980,8,7,13.50,30.26,0.24345
1980,8,8,12.48,27.18,0.53393
1980,8,9,11.33,29.91,0.12262
1980,8,10,11.45,28.83,0
1980,8,11,8.00,26.64,0
1980,8,12,10.46,29.24,1.52619
1980,8,13,12.94,26.34,0.63988
1980,8,14,10.86,25.74,5.95179
1980,8,15,9.07,22.81,3.64702
1980,8,16,7.89,23.20,0.07679
1980,8,17,6.92,24.37,0
1980,8,18,8.66,26.64,0
1980,8,19,9.83,25.44,0
1980,8,20,6.94,19.92,0
1980,8,21,4.94,22.71,0.01786
1980,8,22,8.33,26.45,0.4744
1980,8,23,11.66,26.72,1.05119
1980,8,24,9.89,22.99,4.55417
1980,8,25,9.01,23.24,5.47202
1980,8,26,6.11,22.29,2.67381
1980,8,27,7.10,23.59,0.01786
1980,8,28,7.49,25.48,0
1980,8,29,8.98,24.27,1.34583
1980,8,30,8.66,22.83,1.5006
1980,8,31,6.89,21.86,1.04762
1980,9,1,6.22,22.15,0
1980,9,2,6.44,26.09,0
1980,9,3,9.28,26.60,0
1980,9,4,9.18,25.90,0
1980,9,5,10.23,28.18,0
1980,9,6,11.74,27.72,0
1980,9,7,11.16,27.55,0.58274
1980,9,8,9.86,25.43,3.82321
1980,9,9,6.06,16.59,7.7631
1980,9,10,4.97,21.89,2.075
1980,9,11,6.79,22.66,0.4494
1980,9,12,6.35,20.71,1.0131
1980,9,13,6.40,23.31,0
1980,9,14,7.86,24.68,0
1980,9,15,8.32,25.13,0
1980,9,16,6.37,20.17,0.70298
1980,9,17,3.54,23.43,0
1980,9,18,6.02,26.01,0
1980,9,19,9.78,26.49,0.6869
1980,9,20,8.26,20.26,11.01488
1980,9,21,5.61,21.86,0
1980,9,22,1.93,15.35,0
1980,9,23,0.40,18.95,0
1980,9,24,2.94,18.95,0
1980,9,25,-0.32,16.28,0
1980,9,26,2.29,22.52,0
1980,9,27,5.06,23.16,0
1980,9,28,5.98,24.28,0
1980,9,29,7.24,23.36,0
1980,9,30,6.04,26.09,0
1980,10,1,6.66,21.60,0
1980,10,2,1.86,15.77,0
1980,10,3,2.16,20.90,0
1980,10,4,4.62,22.44,0
1980,10,5,5.87,21.27,0
1980,10,6,4.00,21.71,0
1980,10,7,5.80,23.81,0
1980,10,8,6.69,22.22,0
1980,10,9,4.78,22.66,0
1980,10,10,0.61,15.07,0
1980,10,11,0.32,17.88,0
1980,10,12,3.78,20.86,0.1631
1980,10,13,6.14,18.36,0.07143
1980,10,14,2.98,17.41,2.00893
1980,10,15,2.18,14.44,5.88869
1980,10,16,-2.63,7.16,2.27083
1980,10,17,-5.26,6.71,0.43512
1980,10,18,-4.70,8.48,0.10357
1980,10,19,-3.77,13.31,0
1980,10,20,-0.65,14.67,0
1980,10,21,-1.49,15.15,0.00357
1980,10,22,-1.22,14.58,0.00714
1980,10,23,-6.97,5.25,0.00357
1980,10,24,-9.09,11.26,0
1980,10,25,-2.93,13.93,0.05417
1980,10,26,-2.98,12.60,1.05238
1980,10,27,-7.79,2.21,2.36905
1980,10,28,-10.32,1.14,0.11726
1980,10,29,-8.64,9.08,0
1980,10,30,-2.46,13.96,0
1980,10,31,0.22,17.40,0
1980,11,1,2.71,17.55,0
1980,11,2,3.15,16.48,0
1980,11,3,0.52,12.75,0
1980,11,4,-0.32,14.96,0
1980,11,5,2.17,17.65,0
1980,11,6,3.78,19.28,0
1980,11,7,3.99,17.36,0
1980,11,8,3.62,15.19,0
1980,11,9,1.20,15.32,0
1980,11,10,1.75,17.85,0
1980,11,11,3.27,17.67,0
1980,11,12,2.48,15.69,0.41429
1980,11,13,-6.78,8.41,10.43214
1980,11,14,-8.64,-1.80,1.83214
1980,11,15,-11.52,-1.47,0.46845
1980,11,16,-14.33,-3.26,0.6506
1980,11,17,-14.72,1.39,0
1980,11,18,-8.69,4.96,0
1980,11,19,-6.26,5.72,0
1980,11,20,-6.45,5.67,0
1980,11,21,-5.88,9.82,0.00357
1980,11,22,-3.53,8.05,0
1980,11,23,-8.61,1.46,2.54524
1980,11,24,-9.18,-1.10,4.11845
1980,11,25,-11.34,-0.46,0.06964
1980,11,26,-9.86,1.19,0.0875
1980,11,27,-12.27,-0.44,0.05476
1980,11,28,-4.39,8.62,0
1980,11,29,-3.49,11.07,0
1980,11,30,1.26,14.33,0
1980,12,1,-8.80,6.05,0.89107
